Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.021011,4.6257E-05,0.42655,0,0,0,16.388,0.8237,-0.00012607,0.012564,0.82195,-9.1506E-05,0.23177,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,4.4409E-16,0.026404,0,0,0,0,1.1415,0.0021458,3.8908E-20,7.2656E-20,0.0037429,1.139E-19,0.0021458,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_1.STL,,轮子-1,link1,z-link1,joint_1,continuous,0,0.1565,0.0441,0,0,0,base_link,0,1,0,300,12.56,-100,100,,,,,,,,
Link_2,1.1102E-16,-0.026404,0,0,0,0,1.1415,0.0021458,3.5582E-20,1.4202E-20,0.0037429,1.1227E-19,0.0021458,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_2.STL,,轮子-2,link2,z-link2,jiont_2,continuous,0,-0.1565,0.0441,0,0,0,base_link,0,-1,0,300,12.56,-100,100,,,,,,,,
Link_3,0.024986,4.7189E-05,-0.0017206,0,0,0,0.20489,0.0002546,-6.8229E-08,1.6606E-06,0.00015738,2.8353E-09,0.00013104,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3.STL,,升降板-1,link3,z-link3,joint_3,prismatic,-0.033173,0,0.43575,0,0,0,base_link,0,0,1,100,0.2,0,1,,,,,,,,
Link_3_0,2.3595E-06,0.0026483,0.091992,0,0,0,0.33723,0.00047403,-2.4511E-09,-9.1332E-09,0.00047403,2.7589E-09,0.00050951,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_0.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_0.STL,,关节转接座V1-1,link3-0,z-0,joint_3_0,fixed,0.0538,0,0,-1.5708,0,1.5708,Link_3,0,0,0,60,3.14,-3.104,3.104,,,,,,,,
Link_3_1,1.9639E-06,-0.018459,-0.025186,0,0,0,0.59354,0.0012661,-5.1005E-09,6.3625E-09,0.0011817,0.0002112,0.00056132,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_1.STL,,RM65-B-2-1,link3-1,z-1,joint_3_1,revolute,0,0,0.2405,0,0,0,Link_3_0,0,0,1,7,3.14,-3.07,3.07,,,,,,,,
Link_3_2,1.8303E-06,-0.07613,0.013726,0,0,0,0.43285,0.0012584,1.4759E-09,6.2447E-09,0.00031747,-0.000279,0.0012224,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_2.STL,,RM65-B-3-1,link3-2,z-2,joint_3_2,revolute,0,0,0,-1.5708,0,0,Link_3_1,0,0,1,7,3.14,-2.26,2.26,,,,,,,,
Link_3_3,2.6846E-06,-0.020896,-0.027347,0,0,0,0.43133,0.00079435,-2.4547E-09,-1.3829E-08,0.00073037,0.00014263,0.00031506,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_3.STL,,RM65-B-4-1,link3-3,z-3,joint_3_3,revolute,0,-0.256,0,1.5708,0,0,Link_3_2,0,0,1,7,3.925,-3.07,3.07,,,,,,,,
Link_3_4,6.2599E-06,-0.059593,0.012917,0,0,0,0.28964,0.00063736,-5.748E-08,-3.3077E-08,0.00015649,-0.00014461,0.00061418,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_4.STL,,RM65-B-5-1,link3-4,z-4,joint_3_4,revolute,0,0,0,-1.5708,0,0,Link_3_3,0,0,1,7,3.925,-2.355,2.355,,,,,,,,
Link_3_5,1.9446E-06,-0.015695,-0.021538,0,0,0,0.23943,0.00028595,-2.1436E-09,1.4038E-09,0.00026274,4.4241E-05,0.0001199,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_5.STL,,RM65-B-6-1,link3-5,z-5,joint_3_5,revolute,0,-0.21,0,1.5708,0,0,Link_3_4,0,0,-1,7,3.925,-3.07,3.07,,,,,,,,
Link_3_6,5.9871E-06,-0.059382,0.0094165,0,0,0,0.2188,0.00035053,-3.113E-08,-1.7088E-08,0.00010493,-7.8241E-05,0.00033447,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF_fuhe3.0_RM75_6F_V/meshes/Link_3_6.STL,,RM65-B-7-1,link3-6,z-6,joint_3_6,revolute,0,0,0,-1.5708,0,0,Link_3_5,0,0,1,7,3.925,-2.2294,2.2294,,,,,,,,
